claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy_deductible,annual_premium,days_open,form_defects,fraud_reported
6511726,39,M,1,73,58612.8,1,0,Own,50048,2023-08-12,Saturday,Highway,0,0,25,Phone,0,8.0,Large,24360.59,silver,26633.28,5196.552552,1000,1406.91,9,5,0
6511726,33,M,1,72,35936.0,0,1,Own,50006,2024-10-18,Friday,Local,0,1,45,Phone,0,2.0,Medium,23457.35,black,26707.46,7957.267641,2000,1415.74,10,5,1
6511726,31,M,1,76,84940.8,1,1,Own,15021,2023-12-23,Saturday,Local,0,0,100,Phone,0,7.0,Medium,19752.43,gray,15279.39,3014.110884,1000,1199.44,8,3,0
6511726,53,F,1,93,73526.4,0,1,Own,85027,2024-02-25,Sunday,Parking Lot,0,0,100,Phone,0,1.0,Medium,32910.34,red,20909.28,5671.599025,500,722.66,9,4,0
6511726,41,M,1,87,59403.2,1,0,Own,80046,2024-09-04,Wednesday,Local,0,0,25,Phone,0,6.0,Medium,28570.38,red,34493.98,4064.569489,1000,1187.96,10,2,0
6511726,42,F,0,68,29779.2,1,0,Own,80042,2024-05-26,Sunday,Local,0,1,84,Phone,1,4.0,Medium,12689.88,white,6535.97,2812.365265,2000,972.18,9,2,1
6511726,50,M,1,89,62611.2,1,1,Rent,20151,2024-05-23,Thursday,Parking Lot,0,0,10,Phone,0,6.0,Large,53451.42,silver,7131.38,5712.282494,2000,1104.5,9,3,0
6511726,42,F,1,68,79776.0,1,0,Own,80015,2023-08-31,Thursday,Parking Lot,1,0,77,Phone,1,2.0,Large,17740.7,black,28271.74,9218.58245,1000,1088.34,10,2,0
6511726,30,F,1,79,34419.0,1,1,Own,50041,2024-09-27,Friday,Parking Lot,0,0,61,Phone,0,7.0,Medium,28091.43,silver,15488.99,3973.694785,1000,988.45,7,3,1
6511726,49,F,0,57,62248.0,1,0,Own,80015,2023-07-24,Monday,Local,0,0,18,Phone,1,10.0,Large,23264.33,blue,33770.8,4264.395565,2000,1155.55,9,5,0
6511726,70,M,1,58,67980.8,1,0,Own,20158,2024-11-06,Wednesday,Local,0,0,50,Phone,0,5.0,Compact,29214.54,black,19172.69,2417.922997,500,1451.62,7,4,0
6511726,28,F,1,49,53307.2,1,1,Rent,15057,2023-06-24,Saturday,Parking Lot,1,0,50,Phone,1,5.0,Compact,23876.17,silver,32074.03,3456.679158,500,1726.91,11,8,1
6511726,38,M,1,78,58198.4,0,0,Rent,20140,2024-02-26,Monday,Local,0,0,50,Phone,1,3.0,Large,17991.21,gray,12246.52,7204.667355,500,722.66,10,5,0
6511726,42,F,0,92,39814.4,1,1,Own,50009,2023-09-03,Sunday,Highway,0,0,72,Phone,1,4.0,Compact,12006.56,red,12427.0,3388.568025,2000,1273.7,10,4,1
6511726,23,M,1,82,21312.8,1,0,Rent,15015,2024-03-21,Thursday,Highway,0,0,80,Phone,1,6.0,Compact,12224.55,white,24375.06,5335.459014,500,1726.91,9,4,1
6511726,55,M,1,83,21312.8,0,1,Own,80107,2024-08-31,Saturday,Parking Lot,0,0,69,Phone,0,4.0,Compact,12845.13,other,30130.72,6011.22711,500,1362.87,9,3,1
6511726,44,F,0,65,153869.71199999988,1,1,Rent,85001,2024-09-01,Sunday,Local,0,0,86,Phone,1,4.0,Large,61317.52,silver,30982.76,10852.36645,500,1239.22,9,3,0
6511726,37,F,0,68,21312.8,0,1,Rent,80022,2024-05-26,Sunday,Highway,0,0,51,Phone,1,5.0,Large,34708.88,black,23599.4,5904.032433,500,1105.49,9,9,1
6511726,40,F,1,77,99026.0,1,1,Own,50047,2023-08-06,Sunday,Parking Lot,0,0,50,Phone,1,5.0,Medium,19450.26,silver,12600.66,5891.41743,1000,1425.54,10,2,0
6511726,35,F,1,63,56881.6,1,1,Own,80003,2023-09-27,Wednesday,Highway,0,0,93,Phone,1,3.0,Medium,22227.22,black,18229.28,5429.714276,1000,1038.09,10,3,0
6511726,54,F,0,79,63856.0,1,1,Own,80005,2024-05-27,Monday,Highway,0,0,32,Phone,1,10.0,Medium,34694.52,blue,12470.68,8093.500512,1000,1489.24,9,2,0
6511726,27,M,0,36,32728.0,1,0,Rent,50023,2024-12-28,Saturday,Parking Lot,2,0,71,Phone,1,5.0,Large,7879.24,black,41443.38,6794.780109,2000,769.95,9,2,1
6511726,42,F,1,65,153869.71199999988,0,1,Rent,85072,2023-10-05,Thursday,Parking Lot,3,0,93,Phone,1,6.0,Large,34221.33,silver,21670.54,4019.553749,2000,1514.72,10,5,0
